id,dob,gender,phoneNumber,eligibility,maritalStatus,nationality,addressId,employeeId,companyId,passportExpirationDate,validDocumentUrl,alternativeEmail,alternativePhoneNumber,nin,exchangeRateId
299,1995-12-11,male,07021234567,citizen,single,nigeria,,434,53,,,vincent@bidautomate.com,07021234567,19901234567,36.0
300,1980-03-27,male,08102345678,citizen,married,nigeria,,435,53,,,esther@bidautomate.com,08102345678,20012345678,36.0
301,1988-11-07,male,09063456789,citizen,married,nigeria,,436,53,,,adedayo@bidautomate.com,09063456789,30123456789,36.0
302,1992-04-13,female,08084567890,citizen,single,nigeria,,437,53,,,ijeoma@bidautomate.com,08084567890,40234567890,36.0
303,1987-07-23,female,07055678901,citizen,married,nigeria,,438,53,,,nmesoma@bidautomate.com,07055678901,60456789012,36.0
304,1984-12-06,female,08146789012,citizen,single,nigeria,,439,53,,,oluchi@bidautomate.com,08146789012,70567890123,36.0
305,1979-11-22,female,09017890123,citizen,widowed,nigeria,,440,53,,,oyindamola@bidautomate.com,09017890123,80678901234,36.0
306,1983-04-09,female,08039012345,expatriate,married,nigeria,,441,53,2028-05-15,,precious@bidautomate.com,08039012345,90789012345,36.0
307,1995-05-17,male,07090123456,citizen,single,nigeria,,442,53,,,valentina@bidautomate.com,07090123456,10012345678,36.0
308,1990-01-11,male,08161234567,citizen,single,nigeria,,443,53,,,victor@bidautomate.com,08161234567,21023456789,36.0
309,1985-08-30,male,09022345678,citizen,divorced,nigeria,,444,53,,,vincent@bidautomate.com,09022345678,32034567890,36.0
310,1993-02-14,male,08073456789,citizen,single,nigeria,,445,53,,,esther@bidautomate.com,08073456789,43045678901,36.0
311,1988-10-20,female,08154567890,citizen,married,nigeria,,446,53,,,adedayo@bidautomate.com,08154567890,54056789012,36.0
312,1986-07-05,male,07015678901,citizen,single,nigeria,,447,53,,,ijeoma@bidautomate.com,07015678901,65067890123,36.0
313,1990-01-23,male,08106789012,citizen,married,nigeria,,448,53,,,faith@gomayah.com,08106789012,76078901234,36.0
314,1979-06-13,female,09047890123,citizen,widowed,nigeria,,449,53,,,favour@gomayah.com,09047890123,87089012345,36.0
315,1991-03-07,male,08029012345,citizen,single,nigeria,,450,53,,,henry@gomayah.com,08029012345,98012345678,36.0
