id,firstName,lastName,email,isOwner,licenseType,empUid,roleId,status,companyId,designationId,userId,avatarUrl,deletedAt
433,Ebunoluwa ,Durojaiye,ebunoluwa@snapdemo.com,0,licensed,SD0001136,142,probation,53,106.0,,,
434,Ben , Peters,ben@snapdemo.com,0,licensed,SD0001137,142,probation,53,73.0,191.0,,
435,Ishaq ,YAHAYA,ishaq@snapdemo.com,0,licensed,SD0001138,142,probation,53,87.0,,,
436,Friday, Ahmed,friday@snapdemo.com,0,licensed,SD0001139,142,probation,53,88.0,192.0,,
437,Onyinye , Aruna,onyinye@snapdemo.com,0,licensed,SD0001140,142,probation,53,96.0,,,
438,Bisola, Ayoka,bisola@snapdemo.com,0,licensed,SD0001142,142,probation,53,79.0,193.0,,
439,Adejumoke , Bashir,adejumoke@snapdemo.com,0,licensed,SD0001143,142,probation,53,84.0,194.0,,
440,Fatima , Bashir,fatima@snapdemo.com,0,licensed,SD0001144,142,probation,53,97.0,,,
441,Nanret , Gabdo,nanret@snapdemo.com,0,licensed,SD0001145,142,probation,53,76.0,195.0,,
442,Nuhu , Galadinma,nuhu@snapdemo.com,0,licensed,SD0001146,142,probation,53,78.0,196.0,,
443,Muazu , Huntrods,muazu@snapdemo.com,0,licensed,SD0001147,142,probation,53,78.0,197.0,,
444,Yakub , Jideonwo,yakub@snapdemo.com,0,licensed,SD0001148,142,probation,53,82.0,198.0,,
445,Abubakar , Muhammed,abubakar@snapdemo.com,0,licensed,SD0001149,142,probation,53,81.0,199.0,,
446,Adaobi , Nwakuche,adaobi@snapdemo.com,0,licensed,SD0001150,142,probation,53,80.0,200.0,,
447,Olatunji , Odusi,olatunji@snapdemo.com,0,licensed,SD0001151,142,probation,53,75.0,201.0,,
448,Olukayode , Ogunwolu,olukayode@snapdemo.com,0,licensed,SD0001152,142,probation,53,74.0,202.0,,
449,Sekinat , Olaseinde,sekinat@snapdemo.com,0,licensed,SD0001153,142,probation,53,77.0,203.0,,
450,Benjamin , Owoicho,benjamin@snapdemo.com,0,licensed,SD0001154,145,probation,53,73.0,,,
468,Ijeoma,Epelle,ijeoma@snapnetltd.com,0,licensed,SD000111,143,confirmed,53,101.0,206.0,,
528,Ayoola,Oladapo,ayoola.arogundade@snapnetltd.com,0,licensed,SD0001155,142,confirmed,53,77.0,218.0,,
529,Faith,Arogundade,faith@snapnetltd.com,0,licensed,SD0001156,143,confirmed,53,102.0,219.0,,
530,Mfon,Obong,mfonobong@snapnetltd.com,0,licensed,SD0001157,142,confirmed,53,75.0,220.0,,
